,Rank,Country,Stability(14%),Rights(15%),Health(14%),Safety(14%),Climate(14%),Costs(15%),Popularity(14%),Total(100%)
123,124,Ivory Coast,47,36,11,58,52,57,37,43
124,125,Lesotho,36,40,12,24,89,57,37,42
125,126,El Salvador,59,39,49,21,66,50,14,42
126,127,Zimbabwe,29,14,13,74,91,37,36,42
127,128,Ethiopia,27,31,16,31,81,63,43,42
128,129,Angola,27,24,10,55,63,53,31,38
129,130,Afghanistan,28,9,20,19,58,63,63,37
130,131,Mozambique,36,26,10,4,80,53,36,35
131,132,Iraq,16,12,42,29,37,75,33,35
132,133,Cameroon,40,19,9,27,60,51,34,34
133,134,Chad,46,12,0,31,50,49,44,33
134,135,Nigeria,18,24,12,23,53,57,41,33
135,136,Sudan,8,11,18,55,40,66,24,32
136,137,Congo (Dem. Republic),32,7,6,10,54,60,36,29
